N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT
522,235/06 K 160/09,06 K 160,DIOSMINE,DIOVEINE,COMPRIME PELLICULE,600MG,B/30,,HOP,OFF,,BIO-GALENIC,ALGERIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,F
523,087/06 K 160/00/09,06 K 160,DIOSMINE ANHYDRE ET PURE,DIOVENOR 600MG,COMPRIME PELLICULE,600MG,B/30,,HOP,OFF,,INNOTECH INTERNATIONAL SOCIETE MERE (INNOTHERA FILIALE),FRANCE,2000-07-18 00:00:00,2009-07-19 00:00:00,RE,F
524,079/06 K 216/07,06 K 216,CITROFLAVONOIDE/CITRATE DE MAGNESIUM/ACIDE ASCORBIQUE,RESIVEN,AMP. BUV.,200MG/133MG/150MG/5ML,B/20AMP. DE 5ML,,HOP,OFF,,LABORATOIRE ALGERIEN DE DEVELOPPEMENT PHARMACEUTIQUE (LAD),ALGERIE,2007-02-04 00:00:00,2007-02-04 00:00:00,GE,F
525,099/06 K 281/09,06 K 281,EXTRAIT SEC DE RUSCUS ACULEATUS/EXTRAIT FLUIDE DE MELILOT,CYCLO 3,CREME,"1,6G/2G/100G",T./40G,,HOP,OFF,,PIERRE FABRE MEDICAMENT,FRANCE,2009-10-07 00:00:00,2009-10-07 00:00:00,RE,I
526,195/06 M 120/06,06 M 120,FENOFIBRATE,FENOFIBRATE IVAL,GLES.,200MG,B/30,LISTE II,HOP,OFF,,PHARMA IVAL,ALGERIE,2006-11-11 00:00:00,2006-11-11 00:00:00,GE,F
527,255/06 M 133/98,06 M 133,CIPROFIBRATE,LIPANOR,GLES,100MG,B/30,LISTE II,HOP,OFF,,SANOFI SYNTHELABO,FRANCE,1998-01-24 00:00:00,1998-01-24 00:00:00,RE,I
528,418/06 M 136/09,06 M 136,SIMVASTATINE,LIPONORM,COMP. PELLI. SEC.,20MG,B/28,LISTE I,HOP,OFF,,NOEMEDIC,ALGERIE,2009-09-24 00:00:00,2009-09-24 00:00:00,GE,F
529,039/06 M 136/11,06 M 136,SIMVASTATINE,SIMVASTAL,COMP. PELLI. SEC.,20MG,B/30,LISTE I,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE (SOPHAL),ALGERIE,2011-07-04 00:00:00,2011-07-04 00:00:00,GE,F
530,352/06 M 136/06,06 M 136,SIMVASTATINE,VASTA,COMPRIME PELLICULE,20MG,B/30,LISTE I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2006-07-27 00:00:00,2006-07-27 00:00:00,GE,F
531,035/06 M 136/01/10,06 M 136,SIMVASTATINE,ZOSTINE,COMPRIME PELLICULE,20MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2001-09-18 00:00:00,2010-11-24 00:00:00,GE,F
532,003/06 M 136/07,06 M 136,SIMVASTATINE,SIMVACOR,COMP. PELLI. SEC.,20MG,B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2007-11-18 00:00:00,2007-11-18 00:00:00,GE,F
533,079/06 M 194/01/08,06 M 194,POLICOSANOL,ATEROMIXOL,COMPRIME PELLICULE,5MG,B/20,LISTE I,HOP,OFF,,LABORATOIRE ALGERIEN DE DEVELOPPEMENT PHARMACEUTIQUE (LAD),ALGERIE,2001-12-10 00:00:00,2008-03-24 00:00:00,GE,F
534,079/06 M 195/01/08,06 M 195,POLICOSANOL,ATEROMIXOL,COMPRIME PELLICULE,10MG,B/20,LISTE I,HOP,OFF,,LABORATOIRE ALGERIEN DE DEVELOPPEMENT PHARMACEUTIQUE (LAD),ALGERIE,2001-12-10 00:00:00,2008-07-16 00:00:00,GE,F
535,003/06 M 198/08,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,ATOVAL,COMPRIME PELLICULE,10MG,B/10 ET B/28,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-02-20 00:00:00,2008-02-20 00:00:00,GE,F
536,003/06 M 203/09,06 M 203,SIMVASTATINE,SIMVACOR,COMPRIME PELLICULE,40MG,B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2009-02-10 00:00:00,2009-02-10 00:00:00,GE,F
537,035/06 M 203/06,06 M 203,SIMVASTATINE,ZOSTINE,COMPRIME PELLICULE,40MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2006-06-09 00:00:00,2006-06-09 00:00:00,GE,F
538,352/06 M 205/06,06 M 205,SIMVASTATINE,VASTA,COMPRIME PELLICULE,10MG,B/30,LISTE I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SARL,ALGERIE,2006-07-27 00:00:00,2006-07-27 00:00:00,GE,I
539,003/06 M 205/07,06 M 205,SIMVASTATINE,SIMVACOR,COMPRIME PELLICULE,10MG,B/10,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2007-11-18 00:00:00,2007-11-18 00:00:00,GE,F
540,003/06 M 225/08,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATOVAL,COMPRIME PELLICULE,20MG,B/10 ET B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE SPA,ALGERIE,2008-02-20 00:00:00,2008-02-20 00:00:00,GE,F
541,068/06 M 236/07,06 M 236,FLUVASTATINE SODIQUE EXPRIME EN FLUVASTATINE,LESCOL XL,COMP. PELLI. LP,80MG,B/28,LISTE I,HOP,OFF,,NOVARTIS PHARMA AG,SUISSE,2007-03-07 00:00:00,2007-03-07 00:00:00,RE,I
542,079/06 M 286/09,06 M 286,POLICOSANOL,ATEROMIXOL,COMPRIME PELLICULE,20MG,B/20,LISTE I,HOP,OFF,,LABORATOIRE ALGERIEN DE DEVELOPPEMENT PHARMACEUTIQUE (LAD),ALGERIE,2009-09-23 00:00:00,2009-09-23 00:00:00,GE,F
543,003/06 M 290/11,06 M 290,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,AMLOVASTE,COMPRIME PELLICULE,5MG/10MG,B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2011-01-09 00:00:00,2011-01-09 00:00:00,GE,F
544,003/06 M 292/10,06 M 292,FENOFIBRATE MICRONISE,LIPOCARD 140,GLES.,140MG,B/30,LISTE II,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2010-12-19 00:00:00,2010-12-19 00:00:00,GE,F
545,013/07 A 001/96/10,07 A 001,EXTRAIT DE CENTELLA ASIATICA,ASIATICOSID,PDRE,0.02,FL. POUDREUR DE 2G,,HOP,OFF,,INDUSTRIA FARMACEUTICA NOVA ARGENTIA SPA,ITALIE,1996-10-13 00:00:00,2010-03-16 00:00:00,GE,I
546,058/07 A 001/97,07 A 001,EXTRAIT DE CENTELLA ASIATICA,MADECASSOL,PDRE,0.02,FL/2G,,HOP,OFF,,ROCHE NICHOLAS,FRANCE,1997-08-19 00:00:00,1997-08-19 00:00:00,RE,I
547,013/07 A 002/98,07 A 002,EXTRAIT CENTELLA ASIATICA,ASIATICOSID,CREME,0.01,T/10G,,HOP,OFF,,NOVA ARGENTIA,ITALIE,1998-11-16 00:00:00,1998-11-16 00:00:00,GE,I
548,058/07 A 002/97,07 A 002,EXTRAIT DE CENTELLA ASIATICA,MADECASSOL,CREME,0.01,T/10G,,HOP,OFF,,ROCHE NICHOLAS,FRANCE,1997-08-19 00:00:00,1997-08-19 00:00:00,RE,I
549,319/07 A 006/06,07 A 006,OXYDE DE ZINC/HUILE DE FOIE DE MORUE,GEPLASTINE,PDE.,27G/20G/100G,T/40G,,HOP,OFF,,ARAB PHARM,ALGERIE,2006-06-07 00:00:00,2006-06-07 00:00:00,GE,F
550,366/07 A 006/08,07 A 006,OXYDE DE ZINC/HUILE DE FOIE DE MORUE,O. ZN+,PDE. DERM,27G/20G/100G,T./40G,,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,2008-03-19 00:00:00,2008-03-19 00:00:00,GE,F
551,395/07 B 007/99/11,07 B 007,DEXPANTHENOL (VIT. B5),BEPANTHENE,SOL. INJ. IM,250MG/ML (500MG/2ML),B/06AMP. DE 2ML,,HOP,OFF,,BAYER SANTE FAMILIALE,FRANCE,1999-01-31 00:00:00,2011-09-27 00:00:00,RE,I
552,395/07 B 008/99/11,07 B 008,DEXPANTHENOL (VIT. B5),BEPANTHENE,COMPRIME,100MG,B/20,,HOP,OFF,,BAYER SANTE FAMILIALE,FRANCE,1999-01-31 00:00:00,2011-09-27 00:00:00,RE,I
553,125/07 B 009/98,07 B 009,ACIDE TRETINOIQUE/ERYTHROMYCINE,STIEVAMYCIN,GEL.DERM.,"0,025 %/4%",T/25G,LISTE I,HOP,OFF,,STIEFEL CANADA INC,CANADA,1998-10-19 00:00:00,1998-10-19 00:00:00,RE,I
554,125/07 B 013/98,07 B 013,PEROXYDE DE BENZOYLE,PANOXYL,GEL.DERM.,0.05,T/40G,LISTE II,HOP,OFF,,STIEFEL LIMITED,IRELAND,1998-10-19 00:00:00,1998-10-19 00:00:00,GE,I
555,125/07 B 014/98,07 B 014,PEROXYDE DE BENZOYLE,PANOXYL,GEL. DERM.,0.1,T/40G,LISTE II,HOP,OFF,,STIEFEL LIMITED,IRELAND,1998-10-19 00:00:00,1998-10-19 00:00:00,GE,I
556,125/07 B 090/99,07 B 090,ISOTRETINOINE,ISOTREX,GEL.DERM,0.0005,T/30G,LISTE I,HOP,OFF,,STIEFEL UK Ltd,ROYAUME UNI,1999-12-19 00:00:00,1999-12-19 00:00:00,GE,I
557,079/07 B 091/06,07 B 091,MINOXIDIL,ALOPECYL 5%,SOL. APPLI. LOCALE,0.05,FL.PULV. 15ML - 1FL.PULV. 50ML,LISTE II,HOP,OFF,,LABORATOIRE ALGERIEN DE DEVELOPPEMENT PHARMACEUTIQUE (LAD),ALGERIE,2006-06-27 00:00:00,2006-06-27 00:00:00,GE,F
558,125/07 B 111/00,07 B 111,ACIDE TRETINOIQUE AVEC ECRANS SOLAIRES,RETISOL-A,CREME,0.00025,T/25G,LISTE I,HOP,OFF,,STIEFEL CANADA INC,CANADA,2000-12-26 00:00:00,2000-12-26 00:00:00,RE,I
559,125/07 B 112/00,07 B 112,ACIDE TRETINOIQUE AVEC ECRANS SOLAIRES,RETISOL-A,CREME,0.0005,T/25G,LISTE I,HOP,OFF,,STIEFEL CANADA INC,CANADA,2000-12-30 00:00:00,2000-12-30 00:00:00,RE,I
560,125/07 B 122/01,07 B 122,PEROXYDE DE BENZOYLE,SOLUGEL,GEL,0.04,T/45G,LISTE II,HOP,OFF,,STIEFEL CANADA INC,CANADA,2001-04-08 00:00:00,2001-04-08 00:00:00,RE,I
561,079/07 B 146/99/07,07 B 146,MINOXIDIL,ALOPECYL2%,SOL. APPLI. LOCALE,0.02,B/01FL. PULV.15 ML - B/03FL. PULV. 15ML - B/01FL.PULV. 50ML,,HOP,OFF,,LABORATOIRE ALGERIEN DE DEVELOPPEMENT PHARMACEUTIQUE (LAD),ALGERIE,1999-01-12 00:00:00,2007-08-28 00:00:00,GE,F
562,003/07 C 016/08,07 C 016,ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,ACIFUDAL,PDE.DERM.,0.02,T/15G,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-07-14 00:00:00,2008-07-14 00:00:00,GE,F
563,366/07 C 016/08,07 C 016,ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,FUCIDANE,PDE. DERM,0.02,T./15G,LISTE I,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,2008-04-27 00:00:00,2008-04-27 00:00:00,GE,F
564,174/07 C 018/99,07 C 018,METRONIDAZOLE,FLANIZOL,GEL DERM.,0.0075,T/25G,LISTE I,HOP,OFF,,UNITED PHARMACEUTICAL MANUFACTURING (UPM),JORDANIE,1999-07-13 00:00:00,1999-07-13 00:00:00,GE,I
565,050/07 C 134/02/07,07 C 134,BACITRACINE/NEOMYCINE,BANEOCIN,PDE DERM.,250UI/5000UI/G,T/20G,,HOP,OFF,,SANDOZ SPA,ALGERIE,2002-06-23 00:00:00,2007-07-22 00:00:00,GE,F
566,080/07 C 135/02,07 C 135,BACITRACINE/NEOMYCINE,BANEOCIN,PDRE. DERM.,250UI/5000UI/G,FL/10G,,HOP,OFF,,BIOCHEMIE GmbH,AUTRICHE,2002-07-07 00:00:00,2002-07-07 00:00:00,GE,I
567,124/07 D 024/98,07 D 024,CLOTRIMAZOLE,CANESTEN,CREME.DERM.,1G%,T/30G,,HOP,OFF,,QUIMICA FARMACEUTICA BAYER,ESPAGNE,1998-09-27 00:00:00,1998-09-27 00:00:00,RE,I
568,012/07 D 024/99,07 D 024,CLOTRIMAZOLE,CROMIZOLE,CREME.DERM.,1G%,T/30G,,HOP,OFF,,CROVIS PHILCOM,ITALIE,1999-11-09 00:00:00,1999-11-09 00:00:00,GE,I
569,366/07 D 024/09,07 D 024,CLOTRIMAZOLE,MYCOMAZOLE,CREME DERM.,0.01,T/30G,,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,2009-05-02 00:00:00,2009-05-02 00:00:00,GE,F
570,088/07 D 025/05,07 D 025,ECONAZOLE NITRATE,ECONAZYL 1%,CREME.DERM.,0.01,T/30G,,HOP,OFF,,PHARMAGHREB,ALGERIE,2005-02-27 00:00:00,2005-02-27 00:00:00,GE,F
571,026/07 D 025/08,07 D 025,ECONAZOLE NITRATE,KONAZOL,CREME DERM.,0.01,T/30G,,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2008-12-17 00:00:00,2008-12-17 00:00:00,GE,F
572,220/07 D 026/99/07,07 D 026,ECONAZOLE (NITRATE),ECOMI,LAIT DERMIQUE,1G%,FL/30ML,,HOP,OFF,,GEYMONAT S.P.A,ITALIE,1999-12-08 00:00:00,1999-12-08 00:00:00,GE,I
573,095/07 D 027/98,07 D 027,ECONAZOLE,PEVARYL,LOTION,1G%,FL/30G,,HOP,OFF,,JANSSEN CILAG,FRANCE,1998-09-01 00:00:00,1998-09-01 00:00:00,RE,I
574,418/07 D 028/11,07 D 028,Ketoconazole,MYCOZOL,CREME DERM.,0.02,T/15G,LISTE I,HOP,OFF,,NEOMEDIC,ALGERIE,2011-02-28 00:00:00,2011-02-28 00:00:00,GE,F
575,003/07 D 031/01,07 D 031,MICONAZOLE,MICODAL,GEL.DERM.,0.02,T/40G,LISTE I,HOP,OFF,,SAIDAL,ALGERIE,2001-09-18 00:00:00,2001-09-18 00:00:00,GE,F
576,182/07 D 031/98,07 D 031,MICONAZOLE,MICOGEL,GEL.DERM.,2G%,T/30G,LISTE I,HOP,OFF,,CIPLA LIMITED,INDE,1998-12-15 00:00:00,1998-12-15 00:00:00,GE,I
577,055/07 D 031/97,07 D 031,MICONAZOLE,MICOHEAL,CREME DERM.,2G%,T/30G,LISTE I,HOP,OFF,,DAR AL DAWA,JORDANIE,1997-08-31 00:00:00,1997-08-31 00:00:00,GE,F
578,095/07 D 092/98,07 D 092,Ketoconazole,KETODERM,GEL MOUSSANT EN SACHET- DOSE VOIE CUTANEE,0.02,B/08 SACHET- DOSE DE 6G,,HOP,OFF,,JANSSEN CILAG,FRANCE,1998-11-15 00:00:00,1998-11-15 00:00:00,RE,I
579,003/07 D 094/06,07 D 094,TERBINAFINE CHLORHYDRATE,LAMIDAZ,CREME DERM.,0.01,T/15G,LISTE II,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2006-02-14 00:00:00,2006-02-14 00:00:00,GE,F
580,088/07 D 094/09,07 D 094,TERBINAFINE CHLORHYDRATE,TERCYD,CREME,0.01,T/15G,LISTE II,HOP,OFF,,PHARMAGHREB,ALGERIE,2009-12-06 00:00:00,2009-12-06 00:00:00,GE,F
581,207/07 D 108/00,07 D 108,SERTACONAZOLE NITRATE,DERMOFIX,CREME,0.02,T/20G,,HOP,OFF,,FERRER INTERNATIONAL,ESPAGNE,2000-03-22 00:00:00,2000-03-22 00:00:00,RE,I
582,080/07 D 131/01,07 D 131,NAFTIFINE CHLORHYDRATE,EXODERIL,SOL. DERM.,0.01,FL/10ML,,HOP,OFF,,SANDOZ GmbH,AUTRICHE,2001-08-29 00:00:00,2001-08-29 00:00:00,RE,I
583,080/07 D 132/01,07 D 132,NAFTIFINE CHLORHYDRATE,EXODERIL,CREME DERM.,0.01,T/15G,,HOP,OFF,,SANDOZ GmbH,AUTRICHE,2001-08-29 00:00:00,2001-08-29 00:00:00,RE,I
584,207/07 D 139/03,07 D 139,SERTACONAZOLE NITRATE,DERMOFIX,GEL,0.02,T/100G,,HOP,OFF,,FERRER INTERNATIONAL,ESPAGNE,2003-06-10 00:00:00,2003-06-10 00:00:00,RE,I
585,125/07 D 140/04,07 D 140,CICLOPIROXOLAMINE,SEBIPROX,SOL.,"1,5%",FL/100ML,,HOP,OFF,,STIEFEL,IRELANDE,2004-06-15 00:00:00,2004-06-15 00:00:00,RE,I
586,177/07 D 156/09,07 D 156,TERBINAFINE CHLORHYDRATE,LAMINOX,SOL. PULV. CUTANEE (EN SPRAY),0.01,FL./30ML,LISTE II,HOP,OFF,,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S,TURQUIE,2009-04-19 00:00:00,2009-04-19 00:00:00,GE,I
587,267/07 D 158/08,07 D 158,TERBINAFINE,LAMISIL DERMGEL,GEL,0.01,T/15G,LISTE II,HOP,OFF,,NOVARTIS SANTE FAMILIALE SAS,FRANCE,2009-01-06 00:00:00,2009-01-06 00:00:00,RE,I
588,003/07 E 033/06,07 E 033,ACICLOVIR,VIRODAL,CREME DERM.,0.05,T/15G,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2006-12-18 00:00:00,2006-12-18 00:00:00,GE,F
589,125/07 F 155/07,07 F 155,PODOPHYLLOTOXINE,WARTEC,CREME,0.0015,T/5G,LISTE I,HOP,OFF,,STIEFEL,ROYAUME UNI,2007-07-09 00:00:00,2007-07-09 00:00:00,RE,I
590,366/07 G 036/10,07 G 036,CROTAMITON,EURAXYL,CREME,0.1,T/40G,,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,2010-09-22 00:00:00,2010-09-22 00:00:00,GE,F
591,188/07 H 038/99,07 H 038,BETAMETHASONE,KUTERID,CREME DERM.,0.0005,T/15G,LISTE I,HOP,OFF,,LEK,SLOVENIE,1999-03-16 00:00:00,1999-03-16 00:00:00,GE,I
592,088/07 H 039/03,07 H 039,BETAMETHASONE DIPROPIONATE EXPRIME EN BETAMETHASONE,BETAPROSONE,PDE.DERM.,0.0005,T/15G,LISTE I,HOP,OFF,,PHARMAGHREB,ALGERIE,2003-07-30 00:00:00,2003-07-30 00:00:00,GE,F
593,099/07 H 042/98,07 H 042,DESONIDE,LOCAPRED,CREME DERM.,100MG/100G,T/15G,LISTE I,HOP,OFF,,PIERRE FABRE,FRANCE,1998-04-29 00:00:00,1998-04-29 00:00:00,GE,I
594,012/07 H 044/98/10,07 H 044,FLUMETHASONE PIVALATE MICRONISE/ACIDE SALICYLIQUE,FLUSAL,PDE. DERM.,"0,02%/3%",T/15G,LISTE I,HOP,OFF,,FARMACEUTICI CROVIS PHILCOM SRL,ITALIE,1998-07-01 00:00:00,2010-03-16 00:00:00,GE,I
595,190/07 H 048/98,07 H 048,HYDROCORTISONE,CORTIDERM,CREME DERM.,0.01,T/10G,LISTE I,HOP,OFF,,SAUDI PHARMACEUTICAL INDUSTRIES & MEDICAL APPLIANCES COORPORATION (SPIMACO),ARABIE SAOUDITE,1998-11-29 00:00:00,1998-11-29 00:00:00,GE,I
596,406/07 H 048/09,07 H 048,HYDROCORTISONE (SOUS FORME D'ACETATE)**,CORTEN,CREME DERM.,1%**,T/15G,LISTE I,HOP,OFF,,BEIT JALA PHARMACEUTICALS Co,PALESTINE,2009-03-04 00:00:00,2009-03-04 00:00:00,GE,I
