N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,TYPE,STATUT,DATE DE RETRAIT,MOTIF DE RETRAIT
1,156/01 A 001/99,01 A 001,ASTEMIZOLE,ASTEMIZOL RATIOPHARM,GLES.,10MG,B/20,Liste II,HOP,OFF,RATIOPHARM S.A.,ESPAGNE,1999-01-31 00:00:00,Gé,I,2009-03-07 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
2,166/01 A 001/98,01 A 001,ASTEMIZOLE,ASTERAM,COMP.,10MG,B/10,Liste II,HOP,OFF,RAM PHARMA,JORDANIE,1998-06-30 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
3,174/01 A 001/98,01 A 001,ASTEMIZOLE,ASTIMAL,COMP.,10MG,B/10,Liste II,HOP,OFF,UNITED PHARMACEUTICAL MANUFACTURING (UPM),JORDANIE,1998-10-07 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
4,055/01 A 001/98,01 A 001,ASTEMIZOLE,ASTIZOL,COMP.,10MG,B/10,Liste II,HOP,OFF,DAR AL DAWA,JORDANIE,1998-08-22 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
5,196/01 A 001/99,01 A 001,ASTEMIZOLE,HISTAL,COMP.,10MG,B/20,Liste II,HOP,OFF,CUKUROVA DIS TICARET AS,TURQUIE,1999-10-12 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
6,121/01 A 001/99,01 A 001,ASTEMIZOLE,HISTANAL,COMP.,10MG,B/20,Liste II,HOP,OFF,OBS,SYRIE,1999-04-14 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
7,182/01 A 001/00,01 A 001,ASTEMIZOLE,HISTEM,COMP.,10MG,B/10,Liste II,HOP,OFF,CIPLA LIMITED,INDE,2000-11-18 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
8,255/01 A 003/98,01 A 003,CETIRIZINE,VIRLIX,COMP.PELLI.SEC,10MG,B/15,Liste II,HOP,OFF,SANOFI SYNTHELABO,FRANCE,1998-04-25 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
9,182/01 A 003/99,01 A 003,CETIRIZINE DICHLORHYDRATE,ALERID,COMP.,10MG,B/10,Liste II,HOP,OFF,CIPLA LIMITED,INDE,1999-01-05 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
10,177/01 A 003/98,01 A 003,CETIRIZINE DICHLORHYDRATE,CETRYN,COMP.,10MG,B/10,Liste II,HOP,OFF,ABDI IBRAHIM,TURQUIE,1998-12-23 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
11,118/01 A 003/98,01 A 003,CETIRIZINE DICHLORHYDRATE,ZERAN,COMP.,10MG,B/10,Liste II,HOP,OFF,ARAB PHARMACEUTICAL MANUFACTURING,JORDANIE,1998-10-19 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
12,098/01 A 003/02,01 A 003,CETIRIZINE DICHLORHYDRATE,CERIN,COMP. PELLI.,10MG,B/10,Liste II,HOP,OFF,HAYAT PHARMACEUTICAL INDUSTRIES Co LTD,JORDANIE,2002-12-14 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
13,226/01 A 003/08,01 A 003,CETIRIZINE DICHLORHYDRATE,ZAIN,COMP. SEC.,10MG,B/10,Liste II,HOP,OFF,"MIDDLE EAST PHARMACEUTICAL AND CHEMICAL INDUSTRIES,MEDICAL APPLIANCES Co",JORDANIE,2008-12-23 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
14,046/01 A 003/97,01 A 003,CETIRIZINE DICHLORHYDRATE,ZYRTEC,COMP.PELLI.SEC,10MG,B/10,Liste II,HOP,OFF,UCB PHARMA,FRANCE,1997-06-10 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
15,035/01 A 003/00,01 A 003,CETIRIZINE,VIRCET,COMP.,10MG,B/10,Liste II,HOP,OFF,PHARMALLIANCE,ALGERIE,2000-08-16 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
16,074/01 A 005/97,01 A 005,DEXCHLORPHENIRAMINE MALEATE,CLARAMINE,COMP.,2MG,B/30,,HOP,OFF,FERROSAN,DANEMARK,1997-11-18 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
17,027/01 A 005/97,01 A 005,DEXCHLORPHENIRAMINE (MALEATE),POLARAMINE,COMP. SEC.,2MG,B/30,,HOP,OFF,SCHERING PLOUGH,FRANCE,1997-04-02 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
18,027/01 A 006/97,01 A 006,DEXCHLORPHENIRAMINE MALEATE,POLARAMINE,COMP.ENRO. LP,6MG,B/30,,HOP,OFF,SCHERING PLOUGH,FRANCE,1997-08-19 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
19,027/01 A 007/97,01 A 007,DEXCHLORPHENIRAMINE MALEATE,POLARAMINE,SIROP,"0,5MG/5ML",FL/125 ML,Liste II,HOP,OFF,SCHERING PLOUGH,FRANCE,1997-04-02 00:00:00,Ré,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
20,187/01 A 009/98,01 A 009,MEQUITAZINE,QUITADRILL,COMP.,5MG,B/14,Liste I,HOP,OFF,PIERRE FABRE SANTE,FRANCE,1998-11-22 00:00:00,Ré,I,2012-02-29 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
21,140/01 A 009/99,01 A 009,MEQUITAZINE,MEQUITAZINE LOGOGEN,GLES.,5MG,B/30,Liste I,HOP,OFF,ITALFARMACO S.A,ESPAGNE,1999-01-26 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
22,204/01 A 011/96,01 A 011,PROMETHAZINE CHLORHYDRATE EXPRIME EN PROMETHAZINE,PHENERGAN,SOL .INJ.,50MG,B/5AMP,Liste I,HOP,,FRILAB PHARMA,SUISSE,1996-11-05 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
23,162/01 A 011/98,01 A 011,PROMETHAZINE CHLORHYDRATE EXPRIME EN PROMETHAZINE,PROMETHAZINE HCL,SOL.INJ.,50MG,B/100AMP. DE 2ML,Liste I,HOP,,CHINA MEHECO,CHINE,1998-10-19 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
24,174/01 A 012/99,01 A 012,PROMETHAZINE CHLORHYDRATE EXPRIME EN PROMETHAZINE,HISTAZIN,SIROP,5MG/5ML,FL/125ML,,HOP,OFF,UNITED PHARMACEUTICAL MANUFACTURING (UPM),JORDANIE,1999-06-27 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
25,174/01 A 013/99,01 A 013,PROMETHAZINE CHLORHYDRATE EXPRIME EN PROMETHAZINE,HISTAZIN,COMP.,25MG,B/20,,HOP,OFF,UNITED PHARMACEUTICAL MANUFACTURING (UPM),JORDANIE,1999-07-13 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
26,204/01 A 013/96,01 A 013,PROMETHAZINE CHLORHYDRATE EXPRIME EN PROMETHAZINE,PHENERGAN,COMP.,25MG,B/20,,HOP,,FRILAB PHARMA,SUISSE,1996-12-14 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
27,097/01 A 013/01,01 A 013,PROMETHAZINE,PHENAZINE,COMP.,25MG,B/20,,HOP,,SANAMED,ALGERIE,2001-04-08 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
28,092/01 A 017/98,01 A 017,TRITOQUALINE,HYPOSTAMINE,COMP.,100MG,B/20,,HOP,OFF,CHIESI S.A.,FRANCE,1998-09-27 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
29,304/01 A 033/04,01 A 033,LORATADINE,LOSTAMINE,COMP PELLI.,10MG,B/10,Liste II,HOP,OFF,GEOPHARM,ALGERIE,2004-10-04 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
30,027/01 A 033/97,01 A 033,LORATADINE,CLARITYNE,COMP.,10MG,B/10,Liste II,HOP,OFF,SCHERING PLOUGH,FRANCE,1997-11-04 00:00:00,Ré,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
31,117/01 A 033/09,01 A 033,LORATADINE,LORACTYNE,COMP.,10MG,B/15,Liste II,HOP,OFF,PROMOPHARM S.A.,MAROC,2009-02-28 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
32,250/01 A 033/01,01 A 033,LORATADINE,LORADIF,COMP.,10MG,B/10,Liste II,HOP,OFF,SANOFI DOGU,TURQUIE,2001-09-08 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
33,098/01 A 033/01,01 A 033,LORATADINE,LOREEN,COMP.,10MG,B/10,Liste II,HOP,OFF,HAYAT,JORDANIE,2001-09-08 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
34,258/01 A 033/04,01 A 033,LORATADINE,LORID,COMP.,10MG,B/10,LISTE II,HOP,OFF,PETRA PHARM,ALGERIE,2004-10-26 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
35,377/01 A 033/09,01 A 033,LORATADINE,LORIXYNE,COMP.,10MG,B/20,Liste II,HOP,OFF,ALGERIE PHARM,ALGERIE,2009-04-06 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
36,263/01 A 033/06,01 A 033,LORATADINE,ROLETRA,COMP.,10MG,B/10,Liste II,HOP,OFF,BIOPHARM ALGERIE,ALGERIE,2006-06-07 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
37,097/01 A 033/01,01 A 033,LORATADINE,CLARYMED,COMP. SEC.,10MG,B/10,Liste II,HOP,OFF,SANAMED,ALGERIE,2001-08-15 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
38,286/01 A 033/05,01 A 033,LORATADINE,LORATADINE CPCM,COMP. PELLI.,10MG,B/10,Liste II,HOP,OFF,CHIMIE PHARMACIE COMMERCE MULTIPLE SARL (CPCM),ALGERIE,,Gé,F,2015-03-26 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
39,356/01 A 033/07,01 A 033,LORATADINE,ALLERGINE,COMP.,10MG,B/10,Liste II,HOP,OFF,COOPER MAROC,MAROC,2007-02-04 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
40,196/01 A 033/01,01 A 033,LORATADINE,ANTOR,COMP.,10MG,B/10,Liste II,HOP,OFF,CUKUROVA DIS TICARET AS,TURQUIE,2001-09-08 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
41,229/01 A 034/07,01 A 034,LORATADINE,CLARTEC,SIROP,"0,1G/100ML (ou 5MG/5ML)",FL./60ML,Liste II,HOP,OFF,PHARMA 5,MAROC,2007-04-30 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
42,250/01 A 034/01,01 A 034,LORATADINE,LORADIF,SIROP,5MG/5ML,FL/60ML,Liste II,HOP,OFF,SANOFI DOGU,TURQUIE,2001-09-23 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
43,055/01 A 034/01,01 A 034,LORATADINE,LORATAN,SIROP.,5MG/5ML,FL/100ML,Liste II,HOP,OFF,DAR AL DAWA,JORDANIE,2001-02-10 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
44,201/01 A 034/07,01 A 034,LORATADINE,LORADYL,SIROP,"0,1% (OU 5MG/5ML)",FL./90ML,Liste II,HOP,OFF,PROPHARMAL,ALGERIE,2007-05-12 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
45,027/01 A 034/97/03,01 A 034,LORATADINE,CLARITYNE,SIROP,1MG/ML,FL./60ML,Liste II,HOP,OFF,SCHERING PLOUGH,FRANCE,1997-11-04 00:00:00,Ré,F,2018-02-27 00:00:00,RETRAIT POUR CESSION D'AMM AU LABORATOIRE BAYER
46,406/01 A 034/08,01 A 034,LORATADINE,LORACIL,SIROP,5MG/5ML,FL./120ML,Liste II,HOP,OFF,BEIT JALA,PALESTINE,2008-05-17 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
47,026/01 A 034/08,01 A 034,LORATADINE,HYSTADINE,SIROP,"0,1% OU 5MG/5ML",FL./100ML,Liste II,HOP,OFF,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2008-03-19 00:00:00,Gé,F,2013-10-27 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
48,263/01 A 039/09,01 A 039,FEXOFENADINE CHLORHYDRATE,FEXIGRA,COMP. ENRO.,120MG,B/20,Liste II,HOP,OFF,BIOPHARM ALGERIE,ALGERIE,2009-06-15 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
49,311/01 A 039/11,01 A 039,FEXOFENADINE CHLORHYDRATE,ALERFAST,COMP. PELLI.,120MG,B/16,Liste II,HOP,OFF,LABORATOIRE GROUPEMENT PHARMACEUTIQUE ALGERIEN (LGPA),ALGERIE,2012-01-10 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
50,149/01 A 039/14,01 A 039,FEXOFENADINE CHLORHYDRATE,FEXOFENADINE NOVAGENERICS,COMP.PELLI.,120MG,B/15,LISTE II,HOP,OFF,NOVAPHARM TRADING SARL,ALGERIE,2014-05-04 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
51,263/01 A 040/09,01 A 040,FEXOFENADINE CHLORHYDRATE,FEXIGRA,COMP. ENRO. SEC.,180MG,B/16,Liste II,HOP,OFF,BIOPHARM ALGERIE,ALGERIE,2009-06-15 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
52,311/01 A 040/09,01 A 040,FEXOFENADINE CHLORHYDRATE,ALERFAST,COMP. PELLI.,180MG,B/16,Liste II,HOP,OFF,LABORATOIRE GROUPEMENT PHARMACEUTIQUE ALGERIEN (LGPA),ALGERIE,2009-03-28 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
53,149/01 A 040/15,01 A 040,FEXOFENADINE CHLORHYDRATE,FEXOFENADINE NOVAGENERICS,COMP.PELLI.,180MG,B/15,LISTE II,HOP,OFF,SARL NOVAPHARM TRADING,ALGERIE,2015-12-02 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
54,392/01 A 050/14,01 A 050,Fexofenadine chlorhydrate,TELFAST,COMPRIME PELLICULE,30MG,B/30,Liste II,HOP,OFF,SANOFI AVENTIS ALGERIE SPA,ALGERIE,2014-11-25 00:00:00,Ré,F,2020-01-16 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
55,149/01 A 050/17,01 A 050,FEXOFENADINE CHLORHYDRATE,FEXOFENADINE NOVAGENERICS,COMP.PELLI.,30MG,B/30,LISTE II,HOP,OFF,NOVAPHARM TRADING SARL,ALGERIE,2017-04-12 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
56,095/02 A 040/99,02 A 040,SUFENTANIL CITRATE EXPRIME EN SUFENTANIL,SUFENTA,SOL INJ IV OU PERIDURALE,50µG/ML,B/5AMP. DE 1ML,Stupéfiants,HOP,,JANSSEN CILAG,France,1999-06-06 00:00:00,Ré,I,ABROGATION,ARRET DE COMMERCIALISATION PAR LE DETENTEUR
57,171/02 B 006/99,02 B 006,HALOTHANE,FLUOTHANE,SOL. P. INHAL.,"468,58MG/250ML",FL/250 ML,Liste I,HOP,,ZENECA PHARMA,FRANCE,1999-02-23 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
58,146/02 B 008/98,02 B 008,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,BREVINASE,SOL.INJ.,10MG/ML,B/25,Liste I,HOP,,PHARMACARE LIMITED,AFRIQUE DU SUD,1998-10-13 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
59,021/02 B 008/96,02 B 008,KETAMINE,KETALAR,SOL.INJ.,10MG/ML,B/25,Liste I,HOP,,PARKE DAVIS,FRANCE,1996-09-17 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
60,021/02 B 009/96,02 B 009,KETAMINE,KETALAR,SOL.INJ.,50MG/ML,B/25,Liste I,HOP,,PARKE DAVIS,FRANCE,1996-09-17 00:00:00,Ré,I,2008-05-14 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
61,146/02 B 009/98,02 B 009,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,BREVINASE,SOL.INJ.,50MG/ML,B/25,Liste I,HOP,,PHARMACARE LIMITED,AFRIQUE DU SUD,1998-10-13 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
62,021/02 B 010/96,02 B 010,KETAMINE,KETALAR,SOL.INJ.,100MG/ML,B/25,Liste I,HOP,,PARKE DAVIS,FRANCE,1996-09-17 00:00:00,Ré,I,2008-05-14 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
63,146/02 B 010/98,02 B 010,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,BREVINASE,SOL.INJ.,100MG/ML,B/25,Liste I,HOP,,PHARMACARE LIMITED,AFRIQUE DU SUD,1998-10-13 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
64,171/02 B 011/99,02 B 011,PROPOFOL,DIPRIVAN,SOL.INJ.IV,200MG/20ML,B/5,Liste I,HOP,,ZENECA PHARMA,FRANCE,1999-02-06 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
65,016/02 B 012/97,02 B 012,THIOPENTAL SODIQUE,NESDONAL,PDRE.SOL.INJ.,500MG,B/50FL,Liste II,HOP,,RHONE POULENC RORER,FRANCE,1997-04-29 00:00:00,Ré,I,2011-01-27 00:00:00,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
66,147/02 B 012/99,02 B 012,THIOPENTAL SODIQUE,PENTHOTAL,PDRE.SOL.INJ. I.V,500MG,B/25FL,Liste II,HOP,,ABBOT,FRANCE,1999-05-04 00:00:00,Gé,I,RETRAIT,RETRAIT APRES TRANSFERT DE DETENTEUR
67,352/02 B 012/08,02 B 012,THIOPENTAL (SOUS FORME DE THIOPENTAL SODIUM)**,THIOSAS,PDRE. SOL. INJ. IV,500MG**,B/1FL. DE PDRE.,Liste II,HOP,,EL KENDI PHARMACEUTICALS MANUFACTURING COMPANY,ALGERIE,2008-09-10 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
68,016/02 B 013/97,02 B 013,THIOPENTAL SODIQUE,NESDONAL,PDRE.SOL.INJ.,1G,B/50FL,Liste II,HOP,,RHONE POULENC RORER,FRANCE,1997-04-29 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
69,147/02 B 013/99,02 B 013,THIOPENTAL SODIQUE,PENTHOTAL,PDRE.SOL.INJ. I.V,1G,B/50FL,Liste II,HOP,,ABBOT,FRANCE,1999-05-04 00:00:00,Gé,I,RETRAIT,RETRAIT APRES TRANSFERT DE DETENTEUR
70,352/02 B 013/08,02 B 013,THIOPENTAL (SOUS FORME DE THIOPENTAL SODIUM)**,THIOSAS,PDRE. SOL. INJ. IV,1G**,B/1FL. DE PDRE.,Liste II,HOP,,EL KENDI PHARMACEUTICALS MANUFACTURING COMPANY,ALGERIE,2008-09-10 00:00:00,Gé,I,2011-01-27 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
71,171/02 B 042/99,02 B 042,PROPOFOL,DIPRIVAN,SOL.INJ.,500MG/50ML,FL/50ML,Liste I,HOP,,ZENECA PHARMA,FRANCE,1999-06-22 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
72,171/02 B 043/99,02 B 043,PROPOFOL,DIPRIVAN,SOL.INJ.,1G/ 100ML,FL/100ML,Liste I,HOP,,ZENECA PHARMA,FRANCE,1999-06-22 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
73,146/02 C 016/98,02 C 016,BUPIVACAINE CHLORHYDRATE ANHYDRE,REGIBLOC SPINAL,SOL.INJ.,"0,5%",B/10AMP. DE 5ML,Liste II,HOP,,PHARMACARE LIMITED,AFRIQUE DU SUD,1998-10-13 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
74,036/02 C 016/98,02 C 016,BUPIVACAINE,MARCAINE,SOL.INJ.,"0,5%",FL/20ML,Liste II,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
75,036/02 C 018/98,02 C 018,LIDOCAINE CHLORHYDRATE,XYLOCAINE,SOL.INJ.,0.01,FL/20ML,Liste II,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,Ré,I,2023-01-16 00:00:00,retrait par le laboratoire pour raisons commerciales
76,223/02 C 019/01,02 C 019,LIDOCAINE CHLORHYDRATE,XYLESTESIN-A,SOL INJ,0.02,"B/50CART. DE 1,7ML",Liste II,HOP,,3M ESPE,ALLEMAGNE,2001-11-25 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
77,090/02 C 019/98,02 C 019,LIDOCAINE CHLORHYDRATE,NEOLIDOCATON,SOL.INJ.,0.02,B/50 Cartouches,Liste II,HOP,,WEIMER PHARMA,ALLEMAGNE,1998-08-09 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
78,036/02 C 019/98,02 C 019,LIDOCAINE CHLORHYDRATE,XYLOCAINE,SOL.INJ.,0.02,FL/20ML,Liste II,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,Ré,I,2023-01-16 00:00:00,retrait par le laboratoire pour raisons commerciales
79,036/02 C 020/98,02 C 020,LIDOCAINE,XYLOCAINE,SOL.NON.INJ.,0.05,FL/24ML,Liste II,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
80,036/02 C 021/98,02 C 021,LIDOCAINE/ADRENALINE,XYLOCAINE ADRENALINE,SOL.INJ.,0.01,FL/20ML,Liste I,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
81,036/02 C 022/98,02 C 022,LIDOCAINE/ADRENALINE,XYLOCAINE ADRENALINE,SOL.INJ.,0.02,FL/20ML,Liste I,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
82,036/02 C 023/98,02 C 023,LIDOCAINE/GLUCOSE,XYLOCAINE RACHIANESTHESIE,SOL.INJ.INTRARACHIDIENNE,"5 % / 7,5 %",B/20FL. DE 20ML,Liste II,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
83,044/02 C 024/98,02 C 024,LIDOCAINE/NORADRENALINE,XYLONOR,CARPULE,"1,8ML","B/50CART. DE 1,8ML",Liste I,HOP,,SEPTODENT,FRANCE,1998-04-27 00:00:00,Gé,I,2018-12-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL + DéCISION NON RENOUVELéE
84,036/02 C 025/98/16,02 C 025,LIDOCAINE/NAPHAZOLINE,XYLOCAINE NAPHAZOLINE,SOLUTION INJECTABLE,"5% / 0,02%",FL/24ML,LISTE II,HOP,,LABORATOIRES ASTRA ZENECA,FRANCE,1998-10-28 00:00:00,Ré,I,2023-01-16 00:00:00,retrait par le laboratoire pour raisons commerciales
85,036/02 C 026/98,02 C 026,LIDOCAINE,XYLOCAINE NEBULISEUR,SPRAY,0.05,FL/20G + 8CANULES COURTES,Liste II,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
86,098/02 C 027/98,02 C 027,LIDOCAINE VISQUEUSE,LIOCAINE,GEL,0.02,T/30G,Liste II,HOP,,HAYAT PHARMACEUTICAL INDUSTRIES Co LTD,JORDANIE,1998-04-29 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
87,036/02 C 027/98/16,02 C 027,LIDOCAINE VISQUEUSE,XYLOCAINE VISQUEUSE,GEL ORAL,0.02,TUBE/100G,LISTE II,HOP,,LABORATOIRES ASTRA ZENECA,FRANCE,1998-10-28 00:00:00,Ré,I,2023-01-16 00:00:00,retrait par le laboratoire pour raisons commerciales
