N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,TYPE,STATUT,DATE DE RETRAIT,MOTIF DE RETRAIT
1500,352/13 G 043/08,13 G 043,AMOXICILLINE** (SOUS FORME SODIQUE),BIAMOX,PDRE. ET SOLV. P. SOL. INJ. IM/IV,1G/FL. DE PDRE.**,B/1FL. DE PDRE.+1 AMP. DE 5ML DE SOLV. (EPPI) ET B/50FL. DE PDRE.*,Liste I,HOP*,OFF,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2008-02-23 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1501,262/13 G 043/97/09,13 G 043,AMOXICILLINE** (SOUS FORME SODIQUE),CLAMOXYL,PDRE. ET SOLVT.SOL.INJ.,1G/FL. DE PDRE.**,B/1FL. DE PDRE.+1AMP. DE 5ML DE SOLVT.,Liste I,HOP,OFF,GLAXOSMITHKLINE,FRANCE,1997-03-29 00:00:00,Ré,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1502,039/13 G 043/99/08,13 G 043,AMOXICILLINE,AMOXAL,PDRE.SOL. INJ,200MG/ML (OU 1G/5ML),B/1FL. DE PDRE.+1AMP. DE SOLV. 5ML,Liste I,HOP,OFF,SOCIETE PHARMACEUTIQUE ALGERIENNE (SOPHAL),ALGERIE,1999-07-13 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1503,144/13 G 043/98,13 G 043,AMOXICILLINE (SODIQUE),AMOXICILLINE FLAVELAB,PDRE.SOL.INJ.,1G,B/1+1,Liste I,HOP,OFF,FLAVELAB,FRANCE,1998-10-21 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1504,178/13 G 043/99,13 G 043,AMOXICILLINE,MOXILEN,PDRE.SOL.INJ.,1G,B/1+1,Liste I,HOP,OFF,MEDOCHEMIE LTD,CHYPRE,1999-05-24 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1505,108/13 G 043/98,13 G 043,AMOXICILLINE,AMOXICILLINE PANPHARMA,PDRE.SOL.INJ.IM,1G/5ML,B/1+1,Liste I,HOP,OFF,PANPHARMA,FRANCE,1998-06-07 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1506,031/13 G 043/96,13 G 043,AMOXICILLINE,AMOXICILLINE - SOLVAY,PDRE.SOL.INJ.,1G,B/1+1,Liste I,HOP,OFF,SOLVAY PHARMA,FRANCE,1996-12-21 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
1507,011/13 G 043/96,13 G 043,AMOXICILLINE,LISAMOX,PDRE.SOL.INJ.,1G,B/1+1,Liste I,HOP,OFF,LISAPHARMA,ITALIE,1996-10-13 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1508,178/13 G 044/99,13 G 044,AMOXICILLINE,MOXILEN,GLES.,250MG,B/16,Liste I,HOP,OFF,MEDOCHEMIE LTD,CHYPRE,1999-01-17 00:00:00,Gé,I,2007-06-12 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1509,193/13 G 044/98,13 G 044,AMOXICILLINE,NEOMOX,GLES,250MG,B/12,Liste I,HOP,OFF,GALENICA,MAROC,1999-01-03 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1510,055/13 G 044/98,13 G 044,AMOXICILLINE,AMOXYDAR,GLES.,250MG,B/20,Liste I,HOP,OFF,DAR AL DAWA,JORDANIE,1998-09-01 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
