N,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT,DUREE DE STABILITE
2888,524/13 P 274/17,13 P 274,ZIDOVUDINE,ZIDONE OS,SOLUTION BUVABLE,10MG/ML (50MG/5ML),"B/1FL 240 ML + SERINGUE DOSEUSE DE 10 ML + PIPETTE DOSEUSE DE 1,5 ML",LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2017-12-04 00:00:00,2017-12-04 00:00:00,GE,I,24 MOIS
2889,182/13 P 277/05/17,13 P 277,LAMIVUDINE/ZIDOVUDINE,DUOVIR,COMPRIME PELLICULE,150MG/300MG,B/60,LISTE I,HOP,,,CIPLA LIMITED,INDE,2005-09-28 00:00:00,2017-07-23 00:00:00,GE,I,24 MOIS
2890,508/13 P 277/19,13 P 277,LAMIVUDINE/ZIDOVUDINE,LAMIHOPEZ,COMPRIME PELLICULE,150MG/300MG,B/60,LISTE I,HOP,,,MACLEODS PHARMACEUTICALS LIMITED,INDE,2019-01-13 00:00:00,2019-01-13 00:00:00,GE,I,36 MOIS
2891,524/13 P 277/20,13 P 277,LAMIVUDINE/ZIDOVUDINE,ZIDOLAM,COMPRIME PELLICULE SECABLE,150MG/300MG,B/1 FLC DE 60,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2020-08-26 00:00:00,2020-08-26 00:00:00,GE,I,48 MOIS
2892,524/13 P 278/19,13 P 278,NEVIRAPINE,NEVIVIR,COMPRIME,200 MG,B/1FL DE 60,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2019-03-17 00:00:00,2019-03-17 00:00:00,GE,I,36 MOIS
2893,024/13 P 281/12,13 P 281,RIBAVIRINE,REBETOL,GELULE,200MG,B/84 - B/140 - B/168,LISTE I,HOP,,,MERCK SHARP &DHOME LIMITED,ROYAUME-UNI,2012-08-26 00:00:00,2012-08-26 00:00:00,RE,I,24 MOIS
2894,447/13 P 281/17,13 P 281,RIBAVIRINE,RIBAVIRINE BEKER,GELULE,200MG,B/170,LISTE I,HOP,,,LABORATOIRES BEKER,ALGERIE,2017-03-12 00:00:00,2017-03-12 00:00:00,GE,F,24 MOIS
2895,182/13 P 287/13,13 P 287,EFAVIRENZ,EFAVIR-600,COMPRIME PELLICULE,600MG,PILULIER DE 30,LISTE I,HOP,,,CIPLA LIMITED,INDE,2013-01-20 00:00:00,2013-01-20 00:00:00,GE,I,
2896,524/13 P 287/20,13 P 287,EFAVIRENZ,HEVAZ 600,COMPRIME PELLICULE,600MG,B/1 PILULIER DE 30,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2020-08-13 00:00:00,2020-08-13 00:00:00,GE,I,48 MOIS
2897,508/13 P 288/16,13 P 288,ZIDOVUDINE,ZIDOHOPE 300,COMPRIME PELLICULE,300 MG,PILLULIER DE 60,LISTE I,HOP,OFF,,MACLEODS PHARMACEUTICALS LIMITED,INDE,2016-03-13 00:00:00,2016-03-13 00:00:00,GE,I,36 MOIS
2898,524/13 P 288/20,13 P 288,ZIDOVUDINE,ZIDONE,COMPRIME PELLICULE,300MG,B/1 FLC DE 60,LISTE I,HOP,OFF,,HETERO LABS LIMITED,INDE,2020-08-27 00:00:00,2020-08-27 00:00:00,GE,I,48 MOIS
2899,352/13 P 290/14,13 P 290,OSELTAMIVIR PHOSPHATE EXPRIME EN OSELTAMIVIR,VIROZEL,GELULE,75MG,PILULIER/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-11-02 00:00:00,2014-11-02 00:00:00,GE,F,36 MOIS
2900,478/13 P 287/20,13 P 298,EFAVIRENZ,EFFAHOPE,COMPRIME PELLICULE,600 MG,FLACON HDPE DE 30 COMPRIMES,Liste I,HOP,,,MACLEODS PHARMACEUTICALS LIMITED,INDE,2020-08-17 00:00:00,2020-08-17 00:00:00,GE,I,36 MOIS
2901,017/13 P 313/08/17,13 P 313,ENTECAVIR,BARACLUDE,COMPRIME,"0,5MG",B/30,LISTE I,HOP,OFF,,BRISTOL MYERS SQUIBB PHARMA EEIG,USA,2008-05-31 00:00:00,2017-07-23 00:00:00,RE,I,24 MOIS
2902,216/13 P 313/16,13 P 313,ENTECAVIR,ERTIVIX,COMPRIME SECABLE,"0,5 MG",B/30,LISTE I,HOP,OFF,,RANBAXY (MALAYSIA) SDN.BHD,MALAISIE,2016-06-26 00:00:00,2016-06-26 00:00:00,GE,i,24 MOIS
2903,426/13 P 313/19,13 P 313,ENTECAVIR,BRAVIR,COMPRIME PELLICULE,"0,5MG",B/30,LISTE I,HOP,OFF,,ABDI IBRAHIM REMEDE PHARMA,ALGERIE,2019-04-24 00:00:00,2019-04-24 00:00:00,GE,F,24 MOIS
2904,017/13 P 314/08/17,13 P 314,ENTECAVIR,BARACLUDE,COMPRIME,1MG,B/30,LISTE I,HOP,OFF,,BRISTOL MYERS SQUIBB PHARMA EEIG,USA,2008-05-31 00:00:00,2017-07-23 00:00:00,RE,I,24 MOIS
2905,216/13 P 314/16,13 P 314,ENTECAVIR,ERTIVIX,COMPRIME PELLICULE,1MG,B/30,LISTE I,HOP,OFF,,RANBAXY (MALAYSIA) SDN.BHD,MALAISIE,2016-06-26 00:00:00,2016-06-26 00:00:00,GE,I,24 MOIS
2906,024/13 P 472/15,13 P 472,BOCEPREVIR,VICTRELIS,GELULE,200 MG,B/336,LISTE I,HOP,,,MERCK SHARP &DHOME LIMITED,ROYAUME-UNI,2015-12-13 00:00:00,2015-12-13 00:00:00,RE,I,24 MOIS
2907,268/13 P 475/19,13 P 475,SOFOSBUVIR,SOFOSBUVIR MERINAL,COMPRIME PELLICULE,400MG,B/28,LISTE I,HOP,,,LABORATOIRES MERINAL FABRICATION,ALGERIE,,,GE,F,24 MOIS
2908,352/13 P 475/18,13 P 475,SOFOSBUVIR,NAPIVIR,COMPRIME PELLICULE,400MG,B/28,LISTE I,HOP,,,EL KENDI,ALGERIE,2018-03-19 00:00:00,2022-06-16 00:00:00,GE,F,36 MOIS
2909,447/13 P 475/15,13 P 475,SOFOSBUVIR,SOFOS,COMPRIME PELLICULE,400MG,B/28,LISTE I,HOP,,,LABORATOIRES BEKER,ALGERIE,2015-11-19 00:00:00,2015-11-19 00:00:00,GE,F,24 MOIS
2910,252/13 P 476/20,13 P 476,SOFOSBUVIR/LEDIPASVIR ACETONE (LEDIPASVIR),HEPAVONI,COMPRIME PELLICULE BICOUCHE,400MG/90MG,FL/28,LISTE II,HOP,,,EL KENDI,ALGERIE,2020-09-29 00:00:00,2022-06-16 00:00:00,GE,F,36 MOIS
2911,447/13 P 476/16/22,13 P 476,SOFOSBUVIR/LEDIPASVIR,SOFOSLED,COMPRIME PELLICULE,400MG/90MG,B/28,LISTE I,HOP,,,LABORATOIRES BEKER,ALGERIE,2016-04-17 00:00:00,2022-04-13 00:00:00,GE,F,36 MOIS
2912,330/13 P 479/17,13 P 479,VALACICLOVIR CHLORHYDRATE,RANCLOVIR,COMPRIME PELLICULE,500 MG,B/10,LISTE I,HOP,OFF,,SUN PHARMACEUTICALS INDUSTRIES LTD,INDE,2017-02-27 00:00:00,2017-02-27 00:00:00,GE,I,24 MOIS
2913,447/13 P 479/17/23,13 P 479,SOFOSBUVIR/DACLATASVIR,SOFOSDAC,COMPRIME PELLICULE,400MG/60MG,BOITE DE 28,LISTE I,HOP,,,LABORATOIRES BEKER,ALGERIE,2017-11-30 00:00:00,2023-11-15 00:00:00,GE,F,36 MOIS
2914,024/13 P 480/17,13 P 480,RALTEGRAVIR,ISENTRESS,COMPRIME PELLICULE,400MG,B/01 FL DE 60,LISTE I,HOP,,,MERCK SHARP &DHOME LIMITED,ROYAUME-UNI,2017-05-19 00:00:00,2017-05-19 00:00:00,RE,I,30 MOIS
2915,634/13 P 480/24,13 P 480,RALTEGRAVIR,RALTEGRAVIR 400MG TABLETS,COMPRIME PELLICULE,400MG,B/01 FLACON DE 60,LISTE I,HOP,,,MCNEIL &ARGUS PHARMACEUTICALS LTD,INDE,2024-05-09 00:00:00,2024-05-09 00:00:00,GE,I,24 MOIS
2916,524/13 P 481/17,13 P 481,EMTRICITABINE/TENOFOVIR DISPROXIL FUMARATE,TENOF EM,COMPRIME PELLICULE,200 MG/300MG ( equivalent à 245 mg de tenofovir disoproxil),FL DE 30,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2017-03-20 00:00:00,2017-03-20 00:00:00,GE,I,36 MOIS
2917,177/13 P 483/23,13 P 483,TENOFOVIR DISOPROXIL,KEMERUVIR,COMPRIME PELLICULE,300 MG,BOITE D'UN FLACON DE 30 COMPRIME,LISTE I,HOP,,,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.Ş,TURQUIE,2023-10-02 00:00:00,2023-10-02 00:00:00,GE,I,36 MOIS
2918,524/13 P 483/17,13 P 483,TENOFOVIR DISOPROXIL FUMARATE,TENOF,COMPRIME PELLICULE,300 MG,FL HDPE DE 30,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2017-03-20 00:00:00,2017-03-20 00:00:00,GE,I,36 MOIS
2919,524/13 P 484/17,13 P 484,RITONAVIR,RITNA,COMPRIME PELLICULE,100 MG,B/01 FL DE 30,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2017-03-19 00:00:00,2017-03-19 00:00:00,GE,I,24 MOIS
2920,447/13 P 486/17/24,13 P 486,DACLATASVIR DICHLORHYDRATE,DACLA,COMPRIME PELLICULE SECABLE,60MG,B/28,LISTE I,HOP,,,LABORATOIRES BEKER,ALGERIE,2017-09-10 00:00:00,2024-04-18 00:00:00,GE,F,36 MOIS
2921,524/13 P 490/19,13 P 490,ABACAVIR SULFATE EXPERIME EN ABACAVIR,ABAVIR OS,SOLUTION BUVABLE,20 MG/ML,B/1 FL DE 240 ML ET SEREINGUE FRADUEE DE 10 ML,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2019-06-26 00:00:00,2019-06-26 00:00:00,GE,I,24 MOIS
2922,524/13 P 491/19,13 P 491,ABACAVIR SULFATE EXPERIME EN ABACAVIR,ABAVIR,COMPRIME PELLICULE,300 MG,B/1 PILULIER DE 60,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2019-06-26 00:00:00,2019-06-26 00:00:00,GE,I,24 MOIS
2923,095/13 P 494/19,13 P 494,DARUNAVIR ETHANOLATE EXPRIME EN DARUNAVIR,PREZISTA,COMPRIME PELLICULE,600MG,B/01 PILULIER DE 60,LISTE I,HOP,,,JANSSEN CILAG INTERNATIONAL N.V.,BELGIQUE,2019-07-28 00:00:00,2019-07-28 00:00:00,RE,I,36 MOIS
2924,524/13 P 494/20,13 P 494,DARUNAVIR,DANAVIR,COMPRIME PELLICULE,600MG,B/60,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2020-12-07 00:00:00,2020-12-07 00:00:00,GE,I,24 MOIS
2925,330/13 P 495/19,13 P 495,VALGANCICLOVIR CHLORHYDRATE EXPRIME EN VALGANCICLOVIR,RANCYTE,COMPRIME PELLICULE,450 MG,B/01 FL DE 60,LISTE I,HOP,,,SUN PHARMACEUTICALS INDUSTRIES LTD,INDE,2019-06-16 00:00:00,2019-06-16 00:00:00,GE,I,24 MOIS
2926,536/13 P 495/21,13 P 495,VALGANCICLOVIR CHLORHYDRATE EXPRIME EN VALGANCICLOVIR,VALGANCICLOVIR TABLETS USP,COMPRIME PELLICULE,450MG,B/01 FL DE 60,LISTE I,HOP,,,DR.REDDY'S LABORATORIES LIMITED,INDE,2021-04-26 00:00:00,2021-04-26 00:00:00,GE,I,24 MOIS
2927,095/13 P 497/19,13 P 497,DARUNAVIR ETHANOLATE EXPRIME EN DARUNAVIR,PREZISTA,SUSPENSION BUVABLE,100MG/ML,B/01 FL 200ML+PIPETTE DOSEUSE GRADUEE EN ML,LISTE I,HOP,,,JANSSEN CILAG INTERNATIONAL N.V.,BELGIQUE,2019-07-28 00:00:00,2019-07-28 00:00:00,RE,I,24 MOIS
2928,447/13 P 500/19,13 P 500,SOFOSBUVIR/VELPATASVIR,SOVELBEK,COMPRIME PELLICULE,400MG/100MG,B/28,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2019-12-18 00:00:00,2023-09-19 00:00:00,GE,F,48 MOIS
2929,524/13 P 501/20,13 P 501,EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL FUMARATE,EFTEM,COMPRIME PELLICULE,600MG/200MG/ 300 MG,COMP PELL,LISTE I,HOP,,,HETERO LABS LIMITED,INDE,2020-08-26 00:00:00,2020-08-26 00:00:00,GE,I,36 MOIS
2930,305/13 P 507/22,13 P 507,DOLUTEGRAVIR/ABACAVIR/LAMIVUDINE,TRIUMEQ,COMPRIME PELLICULE,50MG/600MG/300MG,FLACON DE 30,LISTE I,HOP,,,GLAXOSMITHKLINE ALGERIE SPA,ALGERIE,2022-07-28 00:00:00,2022-07-28 00:00:00,GE,I,36 MOIS
2931,024/13 P 508/22,13 P 508,DORAVIRINE,PIFELTRO,COMPRIME,10MG,B/30,LISTE I,HOP,,,MERCK SHARP &DHOME LIMITED,PAYS BAS,2022-08-21 00:00:00,2022-08-21 00:00:00,RE,I,30 MOIS
2932,024/13 P 509/22,13 P 509,DORAVIRINE/LAMIVUDINE/TENOFIR DISOPROXIL,DELSTRIGO,COMPRIME PELLICULE,100MG/300MG/245MG,B/30,LISTE I,HOP,,,MERCK SHARP &DHOME LIMITED,PAYS BAS,2022-08-21 00:00:00,2022-08-21 00:00:00,RE,I,24 MOIS
2933,633/13 P 516/24,13 P 516,LETERMOVIR,PREVYMIS,COMPRIME PELLICULE,240MG,B/28,LISTE I,HOP,,,MERCK SHARP &DHOME B.V,PAYS BAS,2024-04-17 00:00:00,2024-04-17 00:00:00,RE,I,36 MOIS
2934,633/13 P 517/24,13 P 517,LETERMOVIR,PREVYMIS,COMPRIME PELLICULE,480MG,B/28,LISTE I,HOP,,,MERCK SHARP &DHOME B.V,PAYS BAS,2024-04-17 00:00:00,2024-04-17 00:00:00,RE,I,36 MOIS
